layer,shape,mean,std,min,max,num_params,spectral_norm,condition_number
actor.bias,[2],0.030034910887479782,0.1494237184524536,-0.07562360912561417,0.13569343090057373,2,,
actor.weight,"[2, 64]",0.0023935027420520782,0.16119028627872467,-0.36997517943382263,0.4145503044128418,128,1.7283865213394165,3.0885376930236816
critic.bias,[1],0.9653370380401611,,0.9653370380401611,0.9653370380401611,1,,
critic.weight,"[1, 64]",0.38927164673805237,1.4719089269638062,-2.900207042694092,1.5468624830245972,64,12.09084701538086,1.0
shared.0.bias,[64],0.7466257214546204,1.1842702627182007,-1.744057059288025,1.7451059818267822,64,,
shared.0.weight,"[64, 4]",-0.13342519104480743,0.8008409738540649,-3.264491319656372,2.398163318634033,256,11.613555908203125,3.7778537273406982
