layer,shape,mean,std,spectral_norm,num_params
shared.0.weight,"[64, 4]",0.08645138144493103,0.8400600552558899,12.418204307556152,256
actor.weight,"[2, 64]",-0.005716507788747549,0.1544390171766281,1.6260099411010742,128
critic.weight,"[1, 64]",0.5114626884460449,1.32191801071167,11.261991500854492,64
