layer,shape,mean,std,spectral_norm,num_params
shared.0.weight,"[64, 4]",-0.041638750582933426,0.4625259041786194,6.176064491271973,256
shared.2.weight,"[64, 64]",0.020524216815829277,0.36833614110946655,22.405067443847656,4096
actor.weight,"[2, 64]",-0.00021559325978159904,0.13126368820667267,1.337236762046814,128
critic.weight,"[1, 64]",-0.051809512078762054,0.631973922252655,5.03323221206665,64
